D,E
0.5,-100.61133625018428
0.55,-102.51688019845795
0.6,-103.93126718459172
0.65,-104.98314325614376
0.7,-105.76423848262749
0.75,-106.34163210163696
0.8,-106.76517475083915
0.85,-107.07230422808712
0.9,-107.2913740371516
0.95,-107.44399919230807
1.0,-107.54672292440983
1.05,-107.61222150313144
1.1,-107.6501974086354
1.15,-107.66805787003285
1.2,-107.67143910271227
1.25,-107.66461632578988
1.3,-107.65082807903397
1.35,-107.6325374412795
1.4,-107.61164385915623
1.45,-107.5896603499595
1.5,-107.56785929398833
1.55,-107.547388425757
1.6,-107.529351562877
1.65,-107.51484542336061
1.7,-107.50496317706556
1.75,-107.50074870728639
1.8,-107.50298939292838
1.85,-107.51163793783581
1.9,-107.52518506152732
1.95,-107.54106995049709
2.0,-107.55698440956687
2.05,-107.57158941060896
2.1,-107.58437027895948
2.15,-107.59527152802423
2.2,-107.1015584193794
2.25,-107.1720436749567
2.3,-107.20792913499349
