basis_set,D,M_max,basis,E,converged
sto-6g,1.0,512,split-local,-17.348413399124126,True
sto-6g,1.1,512,split-local,-17.79657460909668,True
sto-6g,1.2,512,split-local,-17.93945043149047,True
sto-6g,1.3,512,split-local,-17.899598204703665,True
sto-6g,1.4,512,split-local,-17.765468905341777,True
sto-6g,1.5,512,split-local,-17.62374207197243,True
sto-6g,1.6,512,split-local,-17.33870103657931,True
sto-6g,1.7,512,split-local,-17.15018751946677,True
sto-6g,2.0,512,split-local,-17.035592026068798,True
sto-6g,2.5,512,split-local,-16.80519907596713,False
sto-6g,3.0,512,split-local,-16.93372521417119,True
sto-6g,1.0,1024,split-local,-17.366255307596646,True
sto-6g,1.1,1024,split-local,-17.817456665095264,True
sto-6g,1.2,1024,split-local,-17.965428394090353,True
sto-6g,1.3,1024,split-local,-17.931207836135485,True
sto-6g,1.4,1024,split-local,-17.79895293630487,True
sto-6g,1.5,1024,split-local,-17.68384875832895,True
sto-6g,1.6,1024,split-local,-17.552960965082704,True
sto-6g,1.7,1024,split-local,-17.436128161741834,True
sto-6g,2.0,1024,split-local,-17.209185969386454,True
sto-6g,2.5,1024,split-local,-16.84097648485035,True
sto-6g,3.0,1024,split-local,-16.940321733953475,True
sto-6g,1.0,1024,local,-16.95748944987116,True
sto-6g,1.1,1024,local,-17.51336099488269,True
sto-6g,1.2,1024,local,-17.70772594449774,True
sto-6g,1.3,1024,local,-17.81171554988147,True
sto-6g,1.4,1024,local,-17.82091355469386,True
sto-6g,1.5,1024,local,-17.757445533944633,True
sto-6g,1.6,1024,local,-17.657401004162054,True
sto-6g,1.7,1024,local,-17.545521455379856,True
sto-6g,2.0,1024,local,-17.250496158697658,True
sto-6g,2.5,1024,local,-17.021362548462413,True
sto-6g,3.0,1024,local,-16.968471461561826,True
sto-6g,1.0,1024,canonical,-17.301369346496017,True
sto-6g,1.1,1024,canonical,-17.724815885299662,True
sto-6g,1.2,1024,canonical,-17.831650585572035,True
sto-6g,1.3,1024,canonical,-17.74247490706803,True
sto-6g,1.4,1024,canonical,-17.530372631867635,True
sto-6g,1.5,1024,canonical,-17.246186159532897,True
sto-6g,1.6,1024,canonical,-16.914773073775677,True
sto-6g,1.7,1024,canonical,-16.577898247208054,True
sto-6g,2.0,1024,canonical,-15.506195817607804,True
sto-6g,2.5,1024,canonical,-14.97246581410294,True
sto-6g,3.0,1024,canonical,-16.884308967415784,True
