L,J,BC,E
8,1.0,PBC,-3.651093409
10,1.0,PBC,-4.515446354492043
16,1.0,PBC,-7.1422960798018575
20,1.0,PBC,-8.904386525380719
30,1.0,PBC,-13.321963048925864
40,1.0,PBC,-17.74652277176177
50,1.0,PBC,-22.17385659469767
60,1.0,PBC,-26.60257313719122
70,1.0,PBC,-31.032078417177026
80,1.0,PBC,-35.46207610846663
90,1.0,PBC,-39.8924018214797
100,1.0,PBC,-44.32295702096527
110,1.0,PBC,-48.75367904856412
120,1.0,PBC,-53.1845261548088
130,1.0,PBC,-57.61546944007218
140,1.0,PBC,-62.04648830485069
150,1.0,PBC,-66.47756759585425
160,1.0,PBC,-70.90869598318505
