L,t,U,BC,M_max,E
32,1.0,0.0,APBC,1500,-40.80895864590985
32,1.0,0.0,OBC,1500,-40.03277580092576
32,1.0,0.25,APBC,1500,-38.842888801523436
32,1.0,0.25,OBC,1500,-38.069616020347404
32,1.0,0.5,APBC,1500,-36.94489942010216
32,1.0,0.5,OBC,1500,-36.18038929552569
32,1.0,0.75,APBC,1500,-35.11568988321848
32,1.0,0.75,OBC,1500,-34.36585634848469
32,1.0,1.0,APBC,1500,-33.356491379196726
32,1.0,1.0,OBC,1500,-32.62728434814812
32,1.0,1.25,APBC,1500,-31.66916122317541
32,1.0,1.25,OBC,1500,-30.966406933425677
32,1.0,1.5,APBC,1500,-30.05629772835965
32,1.0,1.5,OBC,1500,-29.38528685838564
32,1.0,1.75,APBC,1500,-28.521250903665994
32,1.0,1.75,OBC,1500,-27.8860186215802
32,1.0,2.0,APBC,1500,-27.06780613846929
32,1.0,2.0,OBC,1500,-26.47026890860623
32,1.0,2.25,APBC,1500,-25.699288984064115
32,1.0,2.25,OBC,1500,-25.138776178698286
32,1.0,2.5,APBC,1500,-24.41727412582059
32,1.0,2.5,OBC,1500,-23.891008357769913
32,1.0,2.75,APBC,1500,-23.220815364655962
32,1.0,2.75,OBC,1500,-22.72510123521871
32,1.0,3.0,APBC,1500,-22.10674741562803
32,1.0,3.0,OBC,1500,-21.63804081767412
32,1.0,3.25,APBC,1500,-21.07061004189495
32,1.0,3.25,OBC,1500,-20.625965502805986
32,1.0,3.5,APBC,1500,-20.10741466906723
32,1.0,3.5,OBC,1500,-19.68447985098347
32,1.0,3.75,APBC,1500,-19.21206159857091
32,1.0,3.75,OBC,1500,-18.808923537951056
32,1.0,4.0,APBC,1500,-18.379534329765214
32,1.0,4.0,OBC,1500,-17.99457836512672
32,1.0,4.25,APBC,1500,-17.60499684680861
32,1.0,4.25,OBC,1500,-17.236815897624524
32,1.0,4.5,APBC,1500,-16.883852012094906
32,1.0,4.5,OBC,1500,-16.531195627785554
32,1.0,4.75,APBC,1500,-16.211782489696567
32,1.0,4.75,OBC,1500,-15.87352493017834
32,1.0,5.0,APBC,1500,-15.584767186406694
32,1.0,5.0,OBC,1500,-15.259890984151848
32,1.0,5.25,APBC,1500,-14.999091238538774
32,1.0,5.25,OBC,1500,-14.68667296649898
32,1.0,5.5,APBC,1500,-14.451341223993772
32,1.0,5.5,OBC,1500,-14.150540904203803
32,1.0,5.75,APBC,1500,-13.93839343904135
32,1.0,5.75,OBC,1500,-13.64844591634206
32,1.0,6.0,APBC,1500,-13.457398117546235
32,1.0,6.0,OBC,1500,-13.177605241997147
32,1.0,6.25,APBC,1500,-13.00576065604087
32,1.0,6.25,OBC,1500,-12.735484431734704
32,1.0,6.5,APBC,1500,-12.58112183763617
32,1.0,6.5,OBC,1500,-12.319778324495637
32,1.0,6.75,APBC,1500,-12.181338048108346
32,1.0,6.75,OBC,1500,-11.928391884424475
32,1.0,7.0,APBC,1500,-11.804461997126621
32,1.0,7.0,OBC,1500,-11.559421583158644
32,1.0,7.25,APBC,1500,-11.448724561595606
32,1.0,7.25,OBC,1500,-11.211137741364478
32,1.0,7.5,APBC,1500,-11.112517847370766
32,1.0,7.5,OBC,1500,-10.881968056764064
32,1.0,7.75,APBC,1500,-10.7943795673678
32,1.0,7.75,OBC,1500,-10.57048242034685
32,1.0,8.0,APBC,1500,-10.492978796936143
32,1.0,8.0,OBC,1500,-10.275379040029584
32,1.0,8.25,APBC,1500,-10.207103055506465
32,1.0,8.25,OBC,1500,-9.995471838720055
32,1.0,8.5,APBC,1500,-9.935646608946307
32,1.0,8.5,OBC,1500,-9.729679062213128
32,1.0,8.75,APBC,1500,-9.677599951221296
32,1.0,8.75,OBC,1500,-9.47701301496878
32,1.0,9.0,APBC,1500,-9.432040352904302
32,1.0,9.0,OBC,1500,-9.2365708338956
32,1.0,9.25,APBC,1500,-9.19812337926339
32,1.0,9.25,OBC,1500,-9.007526208524043
32,1.0,9.5,APBC,1500,-8.975075284103553
32,1.0,9.5,OBC,1500,-8.789121958123937
32,1.0,9.75,APBC,1500,-8.762186209286666
32,1.0,9.75,OBC,1500,-8.580663380846575
32,1.0,10.0,APBC,1500,-8.558798835655367
32,1.0,10.0,OBC,1500,-8.381512295796098
