basis,D,M,E,error,converged
sto-6g,1.0,36,-17.355698752117206,0.002348425031911304,True
sto-6g,1.1,36,-17.80420711551851,0.0028254270943401396,True
sto-6g,1.2,36,-17.951936727095923,0.002192071109756004,True
sto-6g,1.3,36,-17.901402449690252,0.003205129994804261,True
sto-6g,1.4,36,-17.77602755125138,0.0020494247315971555,True
sto-6g,1.5,36,-17.727972400867554,0.0016615616504395794,True
sto-6g,1.6,36,-17.61325531775598,0.0011309800256556544,True
sto-6g,1.7,36,-17.495164581785215,0.0011235570000563081,True
sto-6g,2.0,36,-17.208069255091882,0.0009772315560974078,True
sto-6g,2.5,36,-16.98392857434295,0.0011511956407202922,True
sto-6g,3.0,36,-16.9554045933217,0.0007636345266449048,True
sto-6g,1.0,72,-17.35840846645564,0.0023118279461424576,True
sto-6g,1.1,72,-17.789591389305887,0.0021710039795513787,True
sto-6g,1.2,72,-17.95436269797257,0.0025326155425718783,True
sto-6g,1.3,72,-17.893201843037335,0.002361419211314481,True
sto-6g,1.4,72,-17.7816339537711,0.0024340629397346263,True
sto-6g,1.5,72,-17.732577243118534,0.0011263752556424217,True
sto-6g,1.6,72,-17.61843278434164,0.001579472245313424,True
sto-6g,1.7,72,-17.499835980736506,0.0013095738869548393,True
sto-6g,2.0,72,-17.211085458216857,0.000774084303252485,True
sto-6g,2.5,72,-16.986508578074883,0.001115132188038784,True
sto-6g,3.0,72,-16.955709692073395,0.0005251465681787694,True
