dist,basis,M,E_real,E_imag,error
1.0,canonical,1,-3.759568645404933,-0.00023257854868224647,0.0014689291860196059
1.0,canonical,2,-3.7609869508483698,-0.00029245825702382475,0.0005732794669566072
1.0,canonical,4,-3.7611177546102397,0.00030768513058942803,0.0013543989109292254
1.0,canonical,8,-3.7638970512751513,-2.842135666504352e-05,0.0006880359471237156
1.0,canonical,16,-3.770083713820881,-0.0004917040746111503,5.8487329318347065e-05
1.0,canonical,32,-3.7747857744560456,-3.504910937023011e-05,0.00033907729063034246
1.0,canonical,64,-3.7750709324857965,0.0005033010313896661,0.0003568303352033852
1.4,canonical,1,-5.108397867139367,-0.0001560554678836587,0.001122884036175598
1.4,canonical,2,-5.108123755332944,0.00012201946785977295,0.0003728114500791076
1.4,canonical,4,-5.11065623276912,-0.0005126807236092393,0.0007853959735301229
1.4,canonical,8,-5.116600692383759,0.0005695499614392563,0.0008733434059752941
1.4,canonical,16,-5.117650747930558,-4.2966023648596314e-05,0.0008601026527566412
1.4,canonical,32,-5.143285471450152,0.0002281457856231628,0.00021904526945582263
1.4,canonical,64,-5.137394004995404,0.0008261626903042226,0.0031890721875030632
1.8,canonical,1,-5.26883907489832,8.755874890949814e-06,0.0002362595886463329
1.8,canonical,2,-5.288342365034696,0.00021069362372993215,0.0007017262597275487
1.8,canonical,4,-5.288074573686908,-0.0001040115021044658,0.0005403338463805844
1.8,canonical,8,-5.311927892417428,0.00034591694600267375,0.0012330429657647138
1.8,canonical,16,-5.319835304002877,0.0001102837385862738,0.000517352818025116
1.8,canonical,32,-5.3320027755223744,2.170317384629053e-05,0.005796525226367758
1.8,canonical,64,-5.3324971623780275,0.00029588286745211814,0.000545329185464478
2.0,canonical,1,-5.218476858805213,8.320664061916682e-05,0.0011096555585067827
2.0,canonical,2,-5.22142992644827,-4.102158523419028e-05,0.0001801059545147628
2.0,canonical,4,-5.241885726558131,-0.00043085856447370877,0.0009172291214916687
2.0,canonical,8,-5.236312492228933,0.000290731029546533,0.0005929788918743463
2.0,canonical,16,-5.261545637646936,0.001412107483146629,0.0010461946875300863
2.0,canonical,32,-5.278216068485122,0.0019671829854194488,0.0009969045994512905
