# DOI: 10.48550/arXiv.2111.10353
L,N,J,E_real,E_imag,error
10,1,1.0,-4.5154316958783,-7.457024172759322e-06,7.585408832910786e-06
30,1,1.0,-13.32136096840916,-2.2241176016351697e-05,4.583253136244502e-05
50,1,1.0,-22.172902138270043,-2.6733314843577246e-06,6.985973086364014e-05
70,1,1.0,-31.030648209203108,8.384904894367714e-07,9.595512056909483e-05
90,1,1.0,-39.8904798860042,-2.1519381282478912e-05,0.00011092695983783405
110,1,1.0,-48.75125495631511,2.126184542879194e-05,0.00013836424477709102
130,1,1.0,-57.61250380668553,-2.1325504436986786e-05,0.00015504941384369977
150,1,1.0,-66.47381456352764,-2.6754120896370577e-06,0.00018034371205074396
10,3,1.0,-4.515446392043365,6.955206831332389e-07,2.4478898041356512e-06
30,3,1.0,-13.321716072411974,9.086611195156558e-06,3.506049668545918e-05
50,3,1.0,-22.173205599670283,-6.556876757792944e-06,5.728444510359486e-05
70,3,1.0,-31.03105496067393,-2.4121477206215568e-05,6.702770810733981e-05
90,3,1.0,-39.891234839056395,2.3203102569981152e-06,0.00010016356596338218
110,3,1.0,-48.751788484490696,-1.0144114928948197e-05,0.00011658387421731015
130,3,1.0,-57.61342575312582,1.461384151126111e-05,0.00012787675310630835
150,3,1.0,-66.47546694453891,4.320064224368107e-05,0.00013345182291181346
10,5,1.0,-4.515445041066293,3.678569135608801e-06,7.423269501040252e-06
30,5,1.0,-13.321695116845714,-3.997211905602459e-06,3.4810595812142665e-05
50,5,1.0,-22.1732948069157,5.117090502359279e-06,4.7148525569572295e-05
70,5,1.0,-31.03122655392732,-5.0482414890492425e-06,8.690932722310386e-05
90,5,1.0,-39.891064182683216,-2.3689120183160865e-06,9.417665926714671e-05
110,5,1.0,-48.75206766395122,-3.313132771694661e-05,0.00010240270705979607
130,5,1.0,-57.61361086798378,2.2599108240075496e-06,0.00012947581093880332
150,5,1.0,-66.47549615089454,-1.7754687861552833e-05,0.0001353949894077448
10,10,1.0,-4.515445945191762,1.6236495893114133e-07,1.7298877913240416e-06
30,10,1.0,-13.321740702786624,-1.9907365862305334e-06,3.274589530185276e-05
50,10,1.0,-22.173118079972962,2.12379069478119e-06,5.758642890373944e-05
70,10,1.0,-31.031062440934132,2.715762032650601e-06,7.179031134467307e-05
90,10,1.0,-39.89119248864233,-1.7017841541981536e-05,8.771372939731753e-05
110,10,1.0,-48.75202690884936,5.779814230647419e-06,0.00010124462118551062
130,10,1.0,-57.61374609958395,2.757336123008346e-05,0.00012546887880282337
150,10,1.0,-66.47512099901427,-7.940839897853424e-07,0.00015042432156720344
