# DOI: N/A
L,N,symm,samples,J1,J2,E_real,E_imag,error
6,1,prod,10000,1.0,0.0,-23.675305104081595,0.005124873586439503,0.007320772505466265
6,2,prod,10000,1.0,0.0,-23.993182076018105,-0.0007517343169646164,0.004130406675933109
6,4,prod,10000,1.0,0.0,-24.054636237656428,0.0011333241712899323,0.004468602678335431
6,8,prod,10000,1.0,0.0,-24.107881803621794,0.002521650964636779,0.003870305035767783
6,16,prod,10000,1.0,0.0,-24.11084524316672,0.004189744363663312,0.0038373254001090205
6,32,prod,10000,1.0,0.0,-24.429295157591202,-0.0002228363038753971,0.000884538893828283
6,64,prod,18000,1.0,0.0,-24.43635637452113,0.0003505091256529153,0.0005952924384431136
6,1,sum,10000,1.0,0.0,-22.962911989526322,-0.0027794432767058747,0.008909889992025336
6,2,sum,10000,1.0,0.0,-23.82154077308892,0.0010289706035656332,0.006991295476288941
6,4,sum,10000,1.0,0.0,-24.182944143504773,0.002321442700956589,0.005807751986352528
6,8,sum,10000,1.0,0.0,-24.394230586050057,-0.0008928442720849932,0.002096034989168598
6,16,sum,10000,1.0,0.0,-24.432927065454095,-0.00023584479270257874,0.0008260861452103203
6,32,sum,10000,1.0,0.0,-24.435556413644374,-0.00017382951552414534,0.0006927677640057459
6,64,sum,18000,1.0,0.0,-24.438282980180553,-0.00017232763242927063,0.00038123209291362673
6,1,prod,10000,1.0,0.5,-16.33523227800999,0.0007462595018545293,0.010593998812200864
6,2,prod,10000,1.0,0.5,-17.009377507996984,-0.007316226004721049,0.007942847496900943
6,4,prod,10000,1.0,0.5,-17.161127353231503,0.0009489721693333377,0.007125812348990592
6,8,prod,10000,1.0,0.5,-17.304661104575477,-0.004653755926615749,0.007227416940205175
6,16,prod,10000,1.0,0.5,-17.31159008927267,-0.0004242905576649027,0.006815852067559148
6,32,prod,10000,1.0,0.5,-17.31327471037652,-0.006548513415305744,0.00618546447975446
6,64,prod,18000,1.0,0.5,-17.99714632204472,0.0009673578021179625,0.0023642106414819767
6,1,sum,10000,1.0,0.5,-11.08228228645784,-0.0033799385962562396,0.009709710767755501
6,2,sum,10000,1.0,0.5,-16.074466472243554,0.0025015713512717727,0.009051781540041524
6,8,sum,10000,1.0,0.5,-17.856925580659166,0.000675344450336567,0.0030473828184042766
6,16,sum,10000,1.0,0.5,-18.08057266451554,0.00029105292966821755,0.0018176665323053588
6,32,sum,10000,1.0,0.5,-18.11126265193236,5.637614110290297e-05,0.0012360634937217012
6,64,sum,18000,1.0,0.5,-18.113380750603277,0.0007499610264853217,0.0012584329750456884
