basis,D,E,converged
sto-6g,1.0,-17.337607484674837,True
sto-6g,1.1,-17.781779343421473,True
sto-6g,1.2,-17.921013483343497,True
sto-6g,1.3,-17.876578669634995,True
sto-6g,1.4,-17.73448895923159,True
sto-6g,1.5,-17.57562939197823,True
sto-6g,1.6,-17.330496823004086,True
sto-6g,1.7,-17.16099919481607,True
sto-6g,1.8,-17.003683225810494,True
sto-6g,1.9,-17.05577235769469,True
sto-6g,2.0,-17.30511468652979,True
sto-6g,2.1,-17.887113855425238,True
sto-6g,2.2,-18.098845451043434,True
sto-6g,2.3,-18.42891835434057,True
sto-6g,2.4,-25.04397768614063,True
sto-6g,2.5,-12.864021143640251,False
sto-6g,2.6,-15.182661836832073,False
sto-6g,2.7,-15.424191799085454,False
sto-6g,2.8,-15.750668671316841,False
sto-6g,2.9,-15.868214351824587,True
sto-6g,3.0,-15.911396020841071,True
