basis,D,E,converged
sto-6g,1.0,-16.732027687599953,True
sto-6g,1.1,-17.116892313840268,True
sto-6g,1.2,-17.184091118112534,True
sto-6g,1.3,-17.050181609677367,True
sto-6g,1.4,-16.789589631130823,True
sto-6g,1.5,-16.45151124845725,True
sto-6g,1.6,-16.069505778700773,True
sto-6g,1.7,-15.667181353160103,True
sto-6g,1.8,-15.261589051572642,True
sto-6g,1.9,-14.864800869339575,True
sto-6g,2.0,-14.484633874093618,True
sto-6g,2.1,-14.12586849083526,True
sto-6g,2.2,-13.791389420863986,True
sto-6g,2.3,-13.482798886038523,True
sto-6g,2.4,-13.200723013089068,True
sto-6g,2.5,-12.864021143798148,False
sto-6g,2.6,-12.623891643041013,False
sto-6g,2.7,-12.412577877299924,False
sto-6g,2.8,-12.224618897479743,False
sto-6g,2.9,-12.073037051121311,True
sto-6g,3.0,-11.927762743401068,True
