D,E
0.5,-100.57309704103605
0.55,-102.47332118970732
0.6,-103.88071560585607
0.65,-104.9246385461729
0.7,-105.69741221273623
0.75,-106.26623062240886
0.8,-106.6808024566466
0.85,-106.97838485063579
0.9,-107.1871903010402
0.95,-107.32874208050023
1.0,-107.41953245168212
1.05,-107.47221730060635
1.1,-107.49650051179792
1.15,-107.49980416670192
1.2,-107.48778392804627
1.25,-107.4647284522034
1.3,-107.43387069004827
1.35,-107.39763209969018
1.4,-107.35781544529118
1.45,-107.31575737247869
1.5,-107.27244850120609
1.55,-107.22862650890418
1.6,-107.18484646080215
1.65,-107.14153214522464
1.7,-107.09901201240665
1.75,-107.0575432014563
1.8,-107.01732690729928
1.85,-106.97851794203999
1.9,-106.94123081630146
1.95,-106.90554407530033
2.0,-106.87150404560839
2.05,-106.8391286409554
2.1,-106.80841147580082
2.15,-106.77932625744657
2.2,-106.75183126618766
2.25,-106.72587367022207
2.3,-106.70139343277694
