basis,D,E,converged
sto-6g,1.0,-17.337607515867546,True
sto-6g,1.1,-17.781779020879686,True
sto-6g,1.2,-17.921013326252012,True
sto-6g,1.3,-17.876578747705548,True
sto-6g,1.4,-17.734489930200525,True
sto-6g,1.5,-17.448470433619224,True
sto-6g,1.6,-17.287125103490794,False
sto-6g,1.7,-17.129994383281193,False
sto-6g,1.8,-17.18150051707179,False
sto-6g,1.9,-17.09672868646638,False
sto-6g,2.0,-16.464292860289774,False
sto-6g,2.1,-17.685305724156617,False
sto-6g,2.2,-18.846631789720465,False
sto-6g,2.3,-21.238738224742818,False
sto-6g,2.4,-13.125970218768039,False
sto-6g,2.5,-14.939712967129989,False
sto-6g,2.6,-14.831767168129325,False
sto-6g,2.7,-14.882944887328772,False
sto-6g,2.8,-15.268556805721566,False
sto-6g,2.9,-16.946219016475666,False
sto-6g,3.0,-16.326655031497033,False
