basis,D,E,converged
sto-6g,1.0,-16.73202768759444,True
sto-6g,1.1,-17.116892313716747,True
sto-6g,1.2,-17.184091118087238,True
sto-6g,1.3,-17.050181601122873,True
sto-6g,1.4,-16.78958963943606,True
sto-6g,1.5,-16.451511248742648,True
sto-6g,1.6,-16.06950583657097,False
sto-6g,1.7,-15.667181323933619,False
sto-6g,1.8,-15.261589119066883,False
sto-6g,1.9,-14.86480371667136,False
sto-6g,2.0,-14.484658626350978,False
sto-6g,2.1,-14.125897246810979,False
sto-6g,2.2,-13.791446119013152,False
sto-6g,2.3,-13.482662894179725,False
sto-6g,2.4,-13.12597021563058,False
sto-6g,2.5,-12.86009356641896,False
sto-6g,2.6,-12.623807061759685,False
sto-6g,2.7,-12.466001949458857,False
sto-6g,2.8,-12.238195897696926,False
sto-6g,2.9,-14.953459934427102,False
sto-6g,3.0,-12.002490693901002,False
