# DOI: 10.1103/PhysRevB.100.125124
L,n_parameters,samples,J1,J2,E/L^2
6,3838,5000,1.0,0.0,-0.678821
6,3838,5000,1.0,0.2,-0.598951
6,3838,5000,1.0,0.4,-0.529361
6,3838,5000,1.0,0.45,-0.514521
6,3838,5000,1.0,0.5,-0.501851
6,3838,5000,1.0,0.55,-0.490672
6,3838,5000,1.0,0.6,-0.490231
6,3838,5000,1.0,0.8,-0.585901
6,3838,5000,1.0,1.0,-0.713511
10,3838,5000,1.0,0.0,-0.671351
10,3838,5000,1.0,0.2,-0.592751
10,3838,5000,1.0,0.4,-0.523711
10,3838,5000,1.0,0.45,-0.509051
10,3838,5000,1.0,0.5,-0.495161
10,3838,5000,1.0,0.55,-0.482771
10,3838,5000,1.0,0.6,-0.476041
10,3838,5000,1.0,0.8,-0.573831
10,3838,5000,1.0,1.0,-0.696361
